[1],[np.float64(1739401851.430135)],[np.float64(33390125.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4326248)],[np.float64(33390126.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.435194)],[np.float64(33390127.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.437661)],[np.float64(33390128.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.440139)],[np.float64(33390129.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.442673)],[np.float64(33390130.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.445285)],[np.float64(33390131.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4477)],[np.float64(33390132.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4502242)],[np.float64(33390133.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.452671)],[np.float64(33390134.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.455062)],[np.float64(33390135.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.457563)],[np.float64(33390136.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.460227)],[np.float64(33390137.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.462689)],[np.float64(33390138.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4650922)],[np.float64(33390139.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.467861)],[np.float64(33390140.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4702878)],[np.float64(33390141.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4726489)],[np.float64(33390142.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.475142)],[np.float64(33390143.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.477791)],[np.float64(33390144.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4801888)],[np.float64(33390145.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.482551)],[np.float64(33390146.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.485213)],[np.float64(33390147.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.487674)],[np.float64(33390148.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.490226)],[np.float64(33390149.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4927921)],[np.float64(33390150.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.495297)],[np.float64(33390151.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.4977121)],[np.float64(33390152.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.50034)],[np.float64(33390153.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.502701)],[np.float64(33390154.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.505162)],[np.float64(33390155.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.50779)],[np.float64(33390156.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5101912)],[np.float64(33390157.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.512715)],[np.float64(33390158.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.515094)],[np.float64(33390159.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.517676)],[np.float64(33390160.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.520224)],[np.float64(33390161.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.522623)],[np.float64(33390162.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.525242)],[np.float64(33390163.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.527738)],[np.float64(33390164.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.530218)],[np.float64(33390165.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5327628)],[np.float64(33390166.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.535454)],[np.float64(33390167.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.537827)],[np.float64(33390168.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.540685)],[np.float64(33390169.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.543018)],[np.float64(33390170.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5454998)],[np.float64(33390171.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.548102)],[np.float64(33390172.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5503948)],[np.float64(33390173.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.552783)],[np.float64(33390174.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.555306)],[np.float64(33390175.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.557819)],[np.float64(33390176.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5605571)],[np.float64(33390177.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.562958)],[np.float64(33390178.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.565402)],[np.float64(33390179.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.567769)],[np.float64(33390180.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.570291)],[np.float64(33390181.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.572764)],[np.float64(33390182.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.575687)],[np.float64(33390183.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5780559)],[np.float64(33390184.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.580502)],[np.float64(33390185.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5828218)],[np.float64(33390186.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5854762)],[np.float64(33390187.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.587887)],[np.float64(33390188.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.5903602)],[np.float64(33390189.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.592887)],[np.float64(33390190.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.595361)],[np.float64(33390191.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.597887)],[np.float64(33390192.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.6004531)],[np.float64(33390193.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.602898)],[np.float64(33390194.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.60551)],[np.float64(33390195.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.607797)],[np.float64(33390196.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.610442)],[np.float64(33390197.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.612865)],[np.float64(33390198.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.615254)],[np.float64(33390199.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.618121)],[np.float64(33390200.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
[1],[np.float64(1739401851.620478)],[np.float64(33390201.0)],"[array([[nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [nan, nan, nan, nan],
       [ 0.,  0.,  0.,  1.]])]",[np.float64(nan)]
